RegionName,abbr,SizeRank,2010-12,2011-04,2011-08,2011-12,2012-04,2012-08,2012-12,2013-04,2013-08,2013-12,2014-04,2014-08,2014-12,2015-04,2015-08,2015-12,2016-04,2016-08
California,CA,1,1956,1940,1933,1932,1925,1933,1938,1966,1989,2011,2029,2072,2165,2215,2258,2281,2342,2376
Texas,TX,2,1218,1215,1210,1207,1210,1218,1224,1241,1262,1284,1289,1304,1347,1370,1392,1394,1414,1421
New York,NY,3,1720,1749,1737,1742,1771,1782,1785,1809,1853,1894,1904,1929,1986,2010,2061,2098,2120,2142
Florida,FL,4,1257,1247,1242,1241,1247,1261,1274,1288,1311,1352,1372,1383,1408,1432,1460,1469,1498,1515
Illinois,IL,5,1462,1443,1414,1391,1387,1392,1400,1394,1419,1440,1449,1456,1465,1463,1475,1469,1501,1493
Pennsylvania,PA,6,1201,1195,1186,1169,1176,1183,1189,1190,1192,1196,1191,1188,1211,1211,1229,1223,1240,1238
Ohio,OH,7,982,978,983,983,999,962,979,991,1012,1027,1025,1048,1069,1082,1105,1097,1105,1112
Michigan,MI,8,1100,1079,1071,943,913,915,941,924,930,996,982,980,1007,1043,1051,1055,1082,1081
Georgia,GA,9,1110,1103,1089,1082,1077,1074,1063,1065,1084,1097,1100,1105,1138,1152,1173,1174,1197,1199
North Carolina,NC,10,990,995,1003,1007,1022,1025,1028,1022,1047,1078,1075,1071,1092,1110,1132,1123,1154,1154
New Jersey,NJ,11,1822,1846,1820,1840,1864,1880,1885,1900,1930,1923,1904,1926,1997,2001,1996,1995,2027,2060
Virginia,VA,12,1366,1385,1408,1421,1429,1437,1451,1447,1468,1479,1484,1474,1494,1506,1508,1497,1511,1512
Washington,WA,13,1365,1388,1379,1368,1368,1383,1396,1400,1430,1472,1473,1477,1516,1545,1582,1602,1644,1670
Massachusetts,MA,14,1685,1692,1715,1761,1785,1779,1765,1786,1782,1830,1836,1851,1920,1998,2065,2072,2092,2161
Indiana,IN,15,1013,1015,983,942,948,928,945,924,952,999,994,1003,1037,1052,1074,1047,1072,1085
Arizona,AZ,16,1149,1132,1123,1115,1124,1133,1141,1141,1148,1155,1153,1160,1187,1205,1222,1225,1257,1267
Tennessee,TN,17,956,959,942,953,962,971,972,975,989,998,999,1009,1031,1046,1075,1078,1098,1099
Maryland,MO,18,1648,1656,1664,1671,1673,1676,1673,1689,1705,1718,1713,1708,1741,1748,1765,1752,1768,1769
Wisconsin,MD,19,850,968,1036,1019,1073,1112,1131,1045,1062,1115,1067,1046,1133,1175,1173,1119,1170,1161
Minnesota,WI,20,1234,1255,1275,1262,1267,1270,1290,1300,1315,1331,1328,1324,1341,1348,1372,1383,1405,1407
Colorado,MN,21,1306,1347,1358,1359,1359,1377,1410,1436,1460,1485,1500,1537,1623,1669,1733,1761,1804,1824
Alabama,CO,22,950,942,940,926,951,928,925,933,943,951,926,939,974,987,1016,1003,1009,997
South Carolina,AL,23,1004,1000,1018,1007,1010,1009,1027,1041,1063,1089,1071,1076,1117,1153,1173,1153,1186,1181
Louisiana,SC,24,1186,1178,1195,1202,1205,1195,1199,1207,1222,1219,1218,1228,1280,1305,1317,1287,1301,1289
Kentucky,KY,25,953,952,964,966,952,946,937,944,953,956,949,946,985,1013,1035,1025,1046,1045
Oregon,OR,26,1183,1194,1197,1215,1225,1243,1248,1268,1276,1303,1310,1342,1397,1434,1492,1528,1587,1620
Oklahoma,OK,27,882,886,873,858,868,852,875,885,906,934,939,941,959,966,1010,994,990,985
Connecticut,CT,28,1658,1648,1650,1645,1644,1649,1648,1640,1651,1666,1678,1673,1706,1729,1747,1746,1771,1785
Iowa,IA,29,1012,987,971,938,964,949,978,984,984,1010,980,1001,1041,1072,1103,1066,1077,1078
Mississippi,MS,30,946,937,930,927,960,943,889,915,970,1003,954,943,1034,1040,1051,1028,1070,1079
Arkansas,AR,31,804,821,828,843,850,862,887,902,924,922,898,890,918,934,944,924,949,951
Kansas,KS,32,882,870,952,971,998,1004,1013,1032,1000,994,993,1005,1046,1057,1069,1045,1067,1049
Utah,UT,33,,1204,1202,1206,1209,1207,1237,1277,1316,1332,1310,1312,1340,1358,1375,1370,1408,1431
Nevada,NV,34,1202,1203,1196,1187,1179,1177,1183,1187,1186,1196,1196,1198,1218,1225,1249,1249,1271,1284
New Mexico,NM,35,1163,1150,1176,1155,1143,1114,1116,1126,1142,1150,1141,1134,1157,1181,1190,1181,1189,1187
West Virginia,WV,36,995,963,909,893,949,959,967,951,981,948,896,878,926,940,964,932,934,906
Nebraska,NE,37,1093,1098,1116,1103,1088,1076,1072,1122,1124,1151,1123,1128,1191,1220,1243,1226,1235,1253
Idaho,ID,38,,900,905,906,901,919,930,960,962,974,983,988,1029,1048,1085,1093,1123,1145
Hawaii,HI,39,2095,2049,1899,1844,1914,1941,1958,2044,2147,2087,1917,1975,2215,2344,2377,2374,2388,2398
Maine,ME,40,,976,1001,979,1031,1056,1102,1149,1131,1143,1138,1136,1271,1290,1377,1344,1377,1422
New Hampshire,NH,41,1390,1414,1430,1461,1451,1436,1462,1486,1503,1498,1480,1465,1510,1556,1633,1613,1636,1636
Rhode Island,RI,42,1542,1375,1387,1399,1486,1477,1460,1486,1458,1449,1457,1469,1503,1526,1553,1552,1601,1645
Montana,MT,43,,1092,1101,1053,982,966,981,1021,1013,1006,1039,1038,1079,1114,1141,1170,1195,1218
Delaware,DE,44,1324,1317,1343,1292,1301,1297,1305,1310,1324,1325,1298,1314,1360,1363,1366,1380,1436,1425
South Dakota,SD,45,,,1037,1024,983,991,1058,1122,1154,1106,1035,1015,1072,1150,1172,1161,1185,1199
Alaska,AK,46,,1706,1703,1675,1722,1724,1741,1755,1776,1803,1743,1729,1775,1790,1826,1799,1831,1839
North Dakota,ND,47,,,,909,1035,1066,1183,1259,1297,1319,1241,1257,1407,1432,1457,1423,1432,1462
Vermont,VT,48,,1428,1482,1375,1300,1318,1380,1451,1389,1415,1402,1374,1443,1503,1604,1571,1606,1558
District of Columbia,DC,49,2226,2329,2334,2361,2368,2372,2404,2440,2466,2503,2459,2462,2467,2481,2534,2552,2563,2588
Wyoming,WY,50,,,,878,1041,1147,1181,1171,1219,1191,1065,1150,1278,1351,1303,1267,1326,1245
