RegionName,abbr,SizeRank,2010,2011,2012,2013,2014,2015,2016
California,CA,1,1956,1932,1938,2011,2165,2281,2376
Texas,TX,2,1218,1207,1224,1284,1347,1394,1421
New York,NY,3,1720,1742,1785,1894,1986,2098,2142
Florida,FL,4,1257,1241,1274,1352,1408,1469,1515
Illinois,IL,5,1462,1391,1400,1440,1465,1469,1493
Pennsylvania,PA,6,1201,1169,1189,1196,1211,1223,1238
Ohio,OH,7,982,983,979,1027,1069,1097,1112
Michigan,MI,8,1100,943,941,996,1007,1055,1081
Georgia,GA,9,1110,1082,1063,1097,1138,1174,1199
North Carolina,NC,10,990,1007,1028,1078,1092,1123,1154
New Jersey,NJ,11,1822,1840,1885,1923,1997,1995,2060
Virginia,VA,12,1366,1421,1451,1479,1494,1497,1512
Washington,WA,13,1365,1368,1396,1472,1516,1602,1670
Massachusetts,MA,14,1685,1761,1765,1830,1920,2072,2161
Indiana,IN,15,1013,942,945,999,1037,1047,1085
Arizona,AZ,16,1149,1115,1141,1155,1187,1225,1267
Tennessee,TN,17,956,953,972,998,1031,1078,1099
Maryland,MO,18,1648,1671,1673,1718,1741,1752,1769
Wisconsin,MD,19,850,1019,1131,1115,1133,1119,1161
Minnesota,WI,20,1234,1262,1290,1331,1341,1383,1407
Colorado,MN,21,1306,1359,1410,1485,1623,1761,1824
Alabama,CO,22,950,926,925,951,974,1003,997
South Carolina,AL,23,1004,1007,1027,1089,1117,1153,1181
Louisiana,SC,24,1186,1202,1199,1219,1280,1287,1289
Kentucky,KY,25,953,966,937,956,985,1025,1045
Oregon,OR,26,1183,1215,1248,1303,1397,1528,1620
Oklahoma,OK,27,882,858,875,934,959,994,985
Connecticut,CT,28,1658,1645,1648,1666,1706,1746,1785
Iowa,IA,29,1012,938,978,1010,1041,1066,1078
Mississippi,MS,30,946,927,889,1003,1034,1028,1079
Arkansas,AR,31,804,843,887,922,918,924,951
Kansas,KS,32,882,971,1013,994,1046,1045,1049
Utah,UT,33,,1206,1237,1332,1340,1370,1431
Nevada,NV,34,1202,1187,1183,1196,1218,1249,1284
New Mexico,NM,35,1163,1155,1116,1150,1157,1181,1187
West Virginia,WV,36,995,893,967,948,926,932,906
Nebraska,NE,37,1093,1103,1072,1151,1191,1226,1253
Idaho,ID,38,,906,930,974,1029,1093,1145
Hawaii,HI,39,2095,1844,1958,2087,2215,2374,2398
Maine,ME,40,,979,1102,1143,1271,1344,1422
New Hampshire,NH,41,1390,1461,1462,1498,1510,1613,1636
Rhode Island,RI,42,1542,1399,1460,1449,1503,1552,1645
Montana,MT,43,,1053,981,1006,1079,1170,1218
Delaware,DE,44,1324,1292,1305,1325,1360,1380,1425
South Dakota,SD,45,,1024,1058,1106,1072,1161,1199
Alaska,AK,46,,1675,1741,1803,1775,1799,1839
North Dakota,ND,47,,909,1183,1319,1407,1423,1462
Vermont,VT,48,,1375,1380,1415,1443,1571,1558
District of Columbia,DC,49,2226,2361,2404,2503,2467,2552,2588
Wyoming,WY,50,,878,1181,1191,1278,1267,1245
